# 台灣用詞定點替換表:在「簡轉繁(s2tw)之後」逐條替換。
# 格式:一行一條「原詞 新詞」(中間空格或 Tab),# 開頭為註解;
# 存檔後下一段轉換即生效。長詞自動優先(打印機→印表機 先於 打印→列印),
# 行的先後順序不影響結果。
#
# 收詞原則(加詞前必讀):
# 1. 只收「台灣絕對不使用」的大陸詞。優化、用戶、代碼、對象、
#    支持、數據、審核 這類台灣也在用的詞絕對不能收——會把說話者的
#    原話偷換掉,這正是先前用 OpenCC s2twp 造成「動用戶→動使用者、
#    股票代碼→股票程式碼」誤轉的根因。
#    **「項目」曾經收過,2026-08-02 移除**(使用者 2026-08-01 原判它是
#    大陸詞,同月 2 日發現「項目符號」是繁中正式用語後重新檢視)。實測
#    250 份公司文件:「項目」出現 1,961 次、105 份檔案有它,絕大多數是
#    「稽核項目/變更項目/檢查項目/服務項目/工作項目」這種**台灣自己的
#    用法**,真正當「專案」用的(項目組/項目負責)只有 3 次。更關鍵的是
#    **65 份文件同時用「專案」與「項目」**——作者自己在區分兩個詞,而
#    這條規則會把「專案項目」變成「專案專案」。大陸詞「项目」兼指
#    item 與 project,台灣則是「項目」(item)與「專案」(project)分工,
#    所以無法用字串替換分辨。**這正是原則 1 與 2 各違反一次的例子。**
# 2. 替換是「無視詞界的字串比對」,短詞要防跨詞誤傷,確定無歧義才收:
#    - 視頻 不能收:電視頻道 → 電「影片」道(收複合詞 視頻會議 即可)
#    - 信息 不能收:誠信息息相關 → 誠「資訊」息相關(收 信息安全 即可)
#    - 內存 不能收:體內存在 → 體「記憶體」在
#    - 網絡 不能收:人脈網絡、神經網絡 是台灣真實用法
# 3. 一詞一證據:真實逐字稿看到才加,不憑想像預防性加詞。
# 4. 原詞要寫「繁體」(替換發生在簡轉繁之後,進到這裡的字已是繁體)。

軟件	軟體
硬件	硬體
服務器	伺服器
人工智能	人工智慧
數據庫	資料庫
雲計算	雲端運算
互聯網	網際網路
視頻會議	視訊會議
視頻通話	視訊通話
信息安全	資訊安全
信息系統	資訊系統
打印機	印表機
打印	列印
鼠標	滑鼠
